Límite inferior,Límite superior,Cuota fija,% Sobre excedentedel límite inferior
0.01,"2,238.12",0.00,1.92
8952.50,75984.55,171.88,6.40
75984.56,133536.07,4461.94,10.88
133536.08,155229.80,10723.55,16.00
155229.81,185852.57,14194.54,17.92
185852.58,374837.88,19682.13,21.36
374837.89,590795.99,60049.40,23.52
590796.00,1127926.84,110842.74,30.00
1127926.85,1503902.46,271981.99,32.00
1503902.47,4511707.37,392294.17,34.00
4511707.38,0.000.000.000.000.000.000.000.000.000.000.00,1414947.85,35.00
